input_tokens,output_tokens
1552,32
1590,22
1656,11
1714,9
1728,272
1986,31
12615,125
12639,195
12670,125
12727,495
12859,78
1504,601
1541,362
10075,446
10438,315
2751,11
13358,164
13525,796
14201,68
14278,7
14292,8
2842,22
3017,100
3622,376
6605,49
6750,47
6803,280
7004,59
7069,162
6613,241
7411,149
116,32
135,0
116,30
135,0
141,0
154,0
6704,9
4239,10
4258,24
4304,49
4560,117
4239,10
4239,10
11884,22
11907,16
11928,15
11966,25
12003,42
12111,48
12280,33
12520,234
6704,9
6704,9
6704,9
6704,9
6704,9
4239,10
4342,39
4306,46
4870,407
4236,10
4386,34
4946,277
6762,43
4880,300
6995,43
28985,12
55336,11
55359,22
55390,0
55391,41
55564,91
56656,441
57204,89
57659,269
57931,61
58098,21
58240,19
58293,9
58358,40
58410,241
4935,8
6995,43
7102,37
7662,233
29841,13
29863,32
28944,12
29022,36
29581,398
7086,38
7214,38
7730,579
8332,19
6995,43
7127,37
7170,42
7120,10
7130,15
7234,36
7270,13
6995,43
7127,37
7606,416
7568,37
7555,35
7598,47
29591,12
6995,10
7012,26
7046,21
7071,24
7119,15
11915,28
7159,11
14287,282
15215,849
15473,88
15460,276
14298,59
15184,980
27210,1486
15205,794
15457,100
18185,3985
14277,52
15003,278
14932,101
15389,622
15305,37
14932,85
15117,125
14935,106
15145,151
14821,212
14975,193
15157,142
17345,527
18647,122
18511,9
18651,74
19899,249
18511,9
18511,9
18511,9
18511,9
18618,49
18511,9
18721,91
21547,285
18933,22
18749,92
21576,412
